03-16_clone_A_1
Algorithm: Statistical
Corner+ Avg:223, Count:32
Corner- Avg:12145, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=250 NF=1.000000 SF=2.109617 SFGene=All 
Background=Avg:65.55,Stdev:1.08,Max:68.6,Min:63.3 Noise=Avg:2.80,Stdev:0.08,Max:3.1,Min:2.6 RawQ=2.57 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
102640_at	16	16	80.4	A	0.117160																															
102641_at	16	16	13.3	A	0.602006																															
102642_at	16	16	325.5	P	0.000468																															
102643_at	16	16	71.4	A	0.162935																															
102644_at	16	16	1701.9	P	0.000219																															
102645_at	16	16	58.6	P	0.007543																															
102646_at	16	16	132.1	P	0.000322																															
102647_g_at	16	16	747.7	P	0.000219																															
102648_at	16	16	4.5	A	0.824011																															
102649_s_at	16	16	56.0	A	0.098054																															
102650_at	16	16	22.8	A	0.749276																															
102651_at	16	16	102.1	A	0.397994																															
102652_at	16	16	24.1	A	0.697453																															
102653_at	16	16	2.5	A	0.660442																															
102654_at	16	16	6.0	A	0.641310																															
102655_at	16	16	144.2	P	0.000468																															
102656_at	16	16	92.9	P	0.000673																															
102657_at	16	16	311.6	P	0.006532																															
102658_at	16	16	41.6	A	0.098054																															
102659_at	16	16	756.0	P	0.001141																															
102660_at	16	16	31.2	A	0.098054																															
102661_at	16	16	348.3	P	0.000673																															
102662_at	16	16	6.3	A	0.983000																															
102663_at	16	16	12.4	A	0.795978																															
102664_at	16	16	44.9	A	0.127645																															
102665_at	16	16	83.2	A	0.107301																															
102666_at	16	16	10.7	A	0.438361																															
102667_at	16	16	53.5	A	0.267463																															
102668_at	16	16	58.0	A	0.127645																															
102669_at	16	16	8.6	A	0.882840																															
102670_at	16	16	1392.2	P	0.000266																															
102671_at	16	16	84.0	A	0.117160																															
102672_g_at	16	16	95.4	P	0.014937																															
102673_at	16	16	31.6	A	0.302547																															
102674_at	16	16	6.6	A	0.795978																															
102675_at	16	16	7.9	A	0.581931																															
102676_at	16	16	47.5	A	0.267463																															
102677_at	16	16	4.2	A	0.964837																															
102678_at	16	16	471.2	P	0.000322																															
102679_at	16	16	53.2	A	0.561639																															
102680_g_at	16	16	53.9	A	0.378184																															
102681_at	16	16	119.3	A	0.107301																															
102682_at	16	16	59.8	A	0.117160																															
102683_at	16	16	445.1	P	0.003585																															
102684_at	16	16	20.0	A	0.081337																															
102685_at	16	16	2.7	A	0.581931																															
102686_at	16	16	224.5	A	0.204022																															
102687_at	16	16	18.5	A	0.397994																															
102688_f_at	16	16	48.4	A	0.204022																															
102689_at	16	16	1560.1	P	0.000219																															
102690_at	16	16	23.0	A	0.715253																															
102691_at	16	16	126.3	A	0.189687																															
102692_s_at	16	16	33.8	A	0.541184																															
102693_f_at	16	16	49.7	A	0.418069																															
102694_at	16	16	1.8	A	0.892699																															
102695_at	16	16	278.0	P	0.000266																															
102696_s_at	16	16	65.1	P	0.000219																															
102697_at	16	16	115.6	A	0.458816																															
102698_at	16	16	45.9	P	0.021866																															
102699_at	16	16	594.9	P	0.000388																															
102700_at	16	16	3.4	A	0.561639																															
102701_at	16	16	13.1	A	0.541184																															
102702_at	16	16	14.3	A	0.679170																															
102703_s_at	16	16	11.5	A	0.602006																															
102704_at	16	16	17.3	A	0.218983																															
102705_at	16	16	2.5	A	0.972140																															
102706_i_at	15	15	17.7	A	0.127994																															
102707_f_at	16	16	22.8	A	0.641310																															
102708_at	16	16	10.7	A	0.824011																															
102709_at	16	16	27.5	M	0.048995																															
102710_at	16	16	3870.6	P	0.000219																															
102711_at	16	16	1878.5	P	0.000673																															
102712_at	16	16	4.3	A	0.621816																															
102713_at	16	16	55.7	A	0.175989																															
102714_at	16	16	58.6	A	0.358690																															
102715_at	16	16	7.5	A	0.781017																															
102716_at	16	16	88.9	A	0.458816																															
102717_at	16	16	11.5	A	0.715253																															
102718_at	16	16	828.6	P	0.000468																															
102719_f_at	16	16	982.0	P	0.000219																															
102720_at	16	16	5.9	A	0.621816																															
102721_at	16	16	52.1	A	0.162935																															
102722_g_at	16	16	5.6	A	0.581931																															
102723_at	16	16	3.1	A	0.972140																															
102724_at	16	16	49.9	P	0.001354																															
102725_at	16	16	2.2	A	0.996933																															
102726_at	16	16	0.9	A	0.732537																															
102727_at	16	16	35.5	A	0.127645																															
102728_f_at	16	16	25.8	A	0.302547																															
102729_f_at	16	16	10.4	A	0.749276																															
102730_at	16	16	140.7	P	0.008689																															
102731_g_at	16	16	1102.8	P	0.000219																															
102732_at	16	16	94.8	P	0.021866																															
102733_at	16	16	59.5	M	0.048995																															
102734_at	16	16	621.4	P	0.000219																															
102735_at	16	16	0.8	A	0.996415																															
102736_at	16	16	3.5	A	0.824011																															
102737_at	16	16	22.9	M	0.043968																															
102738_s_at	16	16	63.0	A	0.541184																															
102739_s_at	16	16	6.4	A	0.933135																															
102740_at	16	16	5.3	A	0.621816																															
102741_at	16	16	130.2	P	0.001602																															
102862_at	16	16	21.7	A	0.732537																															
102863_at	16	16	107.7	P	0.001892																															
102864_at	16	16	7.3	A	0.939581																															
102865_at	16	16	29.6	A	0.117160																															
102866_at	16	16	159.8	P	0.007543																															
102867_at	16	16	53.2	A	0.098054																															
102868_g_at	16	16	6.1	A	0.926170																															
102869_at	16	16	54.1	A	0.204022																															
102870_at	16	16	978.4	P	0.000673																															
102871_at	16	16	101.4	A	0.479380																															
102872_f_at	16	16	80.5	P	0.001354																															
102873_at	16	16	1635.5	P	0.000219																															
102874_at	16	16	24.7	A	0.250724																															
102875_at	16	16	52.9	P	0.035163																															
102876_at	16	16	29.2	A	0.089405																															
102877_at	16	16	16292.7	P	0.000266																															
102878_at	16	16	209.9	P	0.001354																															
102879_s_at	16	16	26.8	M	0.054470																															
102880_at	16	16	31.6	A	0.621816																															
102881_at	16	16	129.3	P	0.027860																															
102882_at	16	16	19.1	A	0.150527																															
102883_at	16	16	270.8	P	0.005643																															
102884_at	16	16	487.5	P	0.000388																															
102885_at	16	16	90.2	P	0.000468																															
102886_at	16	16	5.5	A	0.849473																															
102887_at	16	16	21.4	P	0.014937																															
102888_s_at	16	16	36.6	A	0.541184																															
102889_r_at	16	16	416.7	A	0.378184																															
102890_at	16	16	171.5	A	0.162935																															
102891_at	16	16	192.1	P	0.006532																															
102892_at	16	16	465.2	P	0.000266																															
102893_at	16	16	79.9	A	0.066865																															
102894_g_at	16	16	160.2	A	0.073830																															
102895_at	16	16	415.7	P	0.000219																															
102896_at	16	16	350.3	P	0.000219																															
102898_at	16	16	1.7	A	0.945530																															
102899_at	16	16	34.2	A	0.089405																															
102900_at	16	16	6.7	A	0.602006																															
102901_at	16	16	3.3	A	0.824011																															
102902_at	16	16	9.6	A	0.660442																															
102904_at	16	16	12.9	A	0.641310																															
102905_at	16	16	144.6	P	0.000673																															
102906_at	16	16	2387.8	P	0.000219																															
102907_at	16	16	7.4	A	0.861235																															
102908_at	16	16	11.6	A	0.250724																															
102910_at	16	16	472.6	P	0.000266																															
102911_at	16	16	48.9	A	0.098054																															
102912_at	16	16	330.1	P	0.000219																															
102913_at	16	16	9.4	A	0.138765																															
102914_s_at	16	16	3520.1	P	0.000219																															
102915_at	16	16	12.5	A	0.339558																															
102916_s_at	16	16	7.7	A	0.926170																															
102917_at	16	16	46.5	A	0.397994																															
102918_at	16	16	32.6	A	0.660442																															
102919_at	16	16	429.2	P	0.039365																															
102920_at	16	16	360.3	P	0.002228																															
102921_s_at	16	16	3.0	A	0.926170																															
102922_at	16	16	626.5	P	0.000388																															
102923_at	16	16	4.6	A	0.991311																															
102924_at	16	16	620.7	P	0.000219																															
102925_at	16	16	7.4	A	0.679170																															
102926_at	16	16	48.2	A	0.127645																															
102927_s_at	16	16	365.0	P	0.014937																															
102928_at	16	16	860.5	M	0.048995																															
102929_s_at	16	16	732.8	P	0.027860																															
102930_at	16	16	64.4	A	0.479380																															
102931_at	16	16	11.3	A	0.882840																															
102932_at	16	16	4.1	A	0.641310																															
102933_at	16	16	149.3	P	0.035163																															
102934_s_at	16	16	17.6	A	0.458816																															
102935_at	16	16	16.7	A	0.520620																															
102936_at	16	16	4.3	A	0.765443																															
102937_at	16	16	91.4	P	0.024711																															
102938_at	16	16	18.4	A	0.910595																															
102939_s_at	16	16	4.5	A	0.985063																															
102940_at	16	16	10162.4	P	0.000219																															
102941_at	16	16	152.2	A	0.081337																															
102942_at	16	16	78.7	A	0.204022																															
102943_at	16	16	115.9	A	0.162935																															
102944_at	16	16	189.7	P	0.039365																															
102946_r_at	16	16	48.4	A	0.765443																															
102947_at	16	16	36.1	A	0.320830																															
102948_at	16	16	1.3	A	0.995137																															
102949_g_at	16	16	5.2	A	0.939581																															
102950_at	16	16	6.5	A	0.641310																															
102951_at	16	16	112.9	A	0.204022																															
102952_g_at	16	16	170.4	P	0.000388																															
102953_at	16	16	9.2	A	0.837065																															
102954_at	16	16	31.0	A	0.127645																															
102955_at	16	16	106.1	P	0.000322																															
102956_at	16	16	1.3	A	0.994357																															
102957_at	16	16	2929.2	P	0.000266																															
102958_at	16	16	47.3	A	0.089405																															
102959_at	16	16	92.4	P	0.009985																															
102960_at	16	16	1105.8	P	0.002228																															
102961_at	16	16	3.5	A	0.968664																															
102962_at	16	16	341.3	P	0.000219																															
102963_at	16	16	13.5	A	0.561639																															
102964_at	16	16	210.5	P	0.000673																															
102965_at	16	16	714.4	P	0.000219																															
102966_at	16	16	109.1	P	0.002228																															
102967_at	16	16	1.8	A	0.985063																															
102968_at	16	16	10.1	A	0.621816																															
102969_at	16	16	265.0	P	0.001354																															
102970_at	16	16	9.0	A	0.749276																															
102971_at	16	16	4565.9	P	0.000219																															
102972_s_at	16	16	37.8	A	0.302547																															
102973_f_at	16	16	5.8	A	0.749276																															
102974_at	16	16	4.1	A	0.945530																															
102975_at	16	16	2389.9	P	0.000266																															
102976_at	16	16	33.7	A	0.204022																															
102977_at	16	16	13.0	A	0.872355																															
102978_at	16	16	1267.7	P	0.000388																															
102979_at	16	16	16.5	A	0.679170																															
102980_at	16	16	129.9	P	0.000266																															
102981_at	16	16	40.9	A	0.066865																															
103198_at	16	16	402.0	A	0.127645																															
103199_at	16	16	54.4	A	0.302547																															
103200_at	16	16	328.5	P	0.000673																															
103201_at	16	16	32.3	P	0.014937																															
103202_at	16	16	1262.3	P	0.000266																															
103203_f_at	16	16	33.9	P	0.009985																															
103204_r_at	16	16	47.7	A	0.073796																															
103205_at	16	16	558.2	P	0.007543																															
103206_at	16	16	119.9	A	0.073830																															
103207_at	16	16	113.2	P	0.000388																															
103208_at	16	16	17.4	A	0.602006																															
103209_at	16	16	3.3	A	0.983000																															
103210_at	16	16	24.3	A	0.378184																															
103211_at	16	16	64.8	A	0.320830																															
103212_at	16	16	321.6	P	0.000468																															
103213_at	16	16	1.8	A	0.810313																															
103214_at	16	16	5.1	A	0.933135																															
103215_g_at	16	16	101.6	A	0.189687																															
103216_f_at	16	16	342.0	P	0.002617																															
103217_at	16	16	356.9	P	0.000219																															
103218_at	16	16	533.6	P	0.000219																															
103219_at	16	16	66.8	A	0.127645																															
103220_at	16	16	279.5	P	0.000219																															
103221_at	16	16	96.4	A	0.066865																															
103222_at	16	16	15.5	A	0.162935																															
103223_at	16	16	64.0	P	0.000805																															
103224_at	16	16	8.8	A	0.561639																															
103225_at	16	16	208.7	P	0.001141																															
103226_at	16	16	10.5	A	0.541184																															
103227_at	16	16	5.4	A	0.749276																															
103228_at	16	16	13.8	A	0.581931																															
103229_at	16	16	87.5	P	0.019304																															
103231_at	16	16	467.3	P	0.000562																															
103232_at	16	16	246.3	A	0.098054																															
103233_at	16	16	62.6	A	0.162935																															
103234_at	16	16	94.4	P	0.024711																															
103235_at	16	16	32.4	A	0.561639																															
103236_at	16	16	54.3	A	0.138765																															
103237_at	16	16	28.9	A	0.541184																															
103238_at	16	16	9.7	A	0.939581																															
103239_at	16	16	6.5	A	0.732537																															
103240_f_at	16	16	55.8	A	0.127645																															
103241_at	16	16	23.2	A	0.715253																															
103242_at	16	16	214.1	P	0.001354																															
103243_at	16	16	39.3	A	0.621816																															
103244_at	16	16	19.8	A	0.479380																															
103245_at	16	16	15.2	A	0.520620																															
103247_at	16	16	25.2	A	0.218983																															
103248_at	16	16	90.6	A	0.358690																															
103249_at	16	16	8.5	A	0.960635																															
103250_at	16	16	5.2	A	0.479380																															
103251_at	16	16	199.9	P	0.002228																															
103252_at	16	16	10.5	A	0.458816																															
103253_at	16	16	8.6	A	0.892699																															
103254_at	16	16	2980.2	P	0.000219																															
103255_at	16	16	345.3	A	0.234557																															
103256_at	16	16	20.9	P	0.003585																															
103257_at	16	16	9.8	A	0.732537																															
103258_at	16	16	263.2	P	0.000322																															
103259_at	16	16	757.1	P	0.000219																															
103260_at	16	16	106.4	P	0.003067																															
103261_at	16	16	183.4	A	0.060419																															
103262_at	16	16	135.3	P	0.003067																															
103263_at	16	16	554.3	P	0.000959																															
103264_at	16	16	91.5	P	0.005643																															
103265_r_at	16	16	6.5	A	0.849473																															
103266_at	16	16	300.9	A	0.081337																															
103267_i_at	14	14	16.7	A	0.562354																															
103268_r_at	16	16	24.8	A	0.581931																															
103269_f_at	16	16	63.9	P	0.001141																															
103270_at	16	16	88.2	A	0.320830																															
103271_at	16	16	4.4	A	0.837065																															
103272_at	16	16	164.4	A	0.060419																															
103273_s_at	16	16	26.1	A	0.060419																															
103274_at	16	16	30.6	A	0.641310																															
103275_at	16	16	96.0	P	0.004180																															
103276_at	16	16	3.4	A	0.378184																															
103277_s_at	16	16	1208.3	P	0.000219																															
103278_at	16	16	11.8	A	0.500000																															
103279_at	16	16	553.6	P	0.000673																															
103281_at	16	16	40.1	P	0.027860																															
103282_at	16	16	452.5	P	0.002617																															
103283_at	16	16	1.6	A	0.892699																															
103284_at	16	16	16.5	A	0.781017																															
103285_at	16	16	74.1	P	0.009985																															
103286_at	16	16	129.9	P	0.013092																															
103288_at	16	16	156.3	P	0.001141																															
103289_at	16	16	17.3	A	0.479380																															
103291_at	16	16	16.5	A	0.679170																															
103292_at	16	16	1.0	A	0.861235																															
103293_at	16	16	298.3	P	0.031336																															
103294_at	16	16	49.8	A	0.189687																															
103295_at	16	16	183.3	P	0.005643																															
103296_at	16	16	3.7	A	0.479380																															
103297_at	16	16	10.2	A	0.910595																															
103298_at	16	16	7.7	A	0.602006																															
103299_at	16	16	20.1	A	0.500000																															
103300_at	16	16	343.5	P	0.000468																															
103301_i_at	15	15	33.6	A	0.213264																															
103302_r_at	16	16	131.0	P	0.024711																															
103303_at	16	16	101.0	P	0.002617																															
103305_at	16	16	12.4	A	0.749276																															
103306_at	16	16	11.2	A	0.320830																															
103308_at	16	16	35.9	P	0.003585																															
103309_at	16	16	164.2	P	0.000322																															
103310_at	16	16	34.8	A	0.204022																															
103311_at	16	16	910.0	P	0.000805																															
103312_f_at	16	16	86.9	P	0.000266																															
103313_r_at	16	16	1.3	A	0.660442																															
103314_at	16	16	294.0	P	0.000322																															
103315_at	16	16	447.1	P	0.001141																															
103316_at	16	16	32.8	A	0.561639																															
103317_at	16	16	0.5	A	0.995137																															
103437_at	16	16	8.0	A	0.951005																															
103438_at	16	16	15.6	A	0.284747																															
103439_at	16	16	308.1	P	0.035163																															
103440_at	16	16	209.6	P	0.000266																															
103441_at	16	16	139.8	P	0.011447																															
103442_at	16	16	384.8	P	0.000959																															
103443_at	16	16	898.5	P	0.000219																															
103444_at	16	16	24.6	P	0.021866																															
103445_at	16	16	81.5	A	0.302547																															
103446_at	16	16	875.6	P	0.000219																															
103447_at	16	16	334.6	P	0.013092																															
103448_at	16	16	27.4	A	0.138765																															
103449_at	16	16	355.9	P	0.002617																															
103450_at	16	16	110.6	A	0.066865																															
103451_at	16	16	1265.3	P	0.000219																															
103452_at	16	16	8.5	A	0.581931																															
103454_at	16	16	1.8	A	0.996933																															
103455_at	16	16	48.3	A	0.107301																															
103456_at	16	16	293.6	P	0.013092																															
103457_at	16	16	335.4	P	0.000959																															
103458_at	16	16	22.4	A	0.438361																															
103459_at	16	16	228.5	P	0.000562																															
103460_at	16	16	847.9	P	0.000388																															
103462_at	16	16	686.7	P	0.000219																															
103463_at	16	16	15.5	A	0.250724																															
103465_f_at	16	16	19.3	A	0.781017																															
103466_at	16	16	221.0	P	0.014937																															
103467_g_at	16	16	213.8	P	0.003067																															
103468_at	16	16	11.1	A	0.358690																															
103469_at	16	16	21.5	A	0.541184																															
103470_at	16	16	5.3	A	0.910595																															
103471_at	16	16	54.5	P	0.006532																															
103472_at	16	16	1.4	A	0.995137																															
103473_at	16	16	92.0	A	0.189687																															
103475_s_at	16	16	60.4	A	0.066865																															
103476_at	16	16	91.3	A	0.066865																															
103477_at	16	16	8.0	A	0.861235																															
103478_at	16	16	28.1	A	0.320830																															
103479_at	16	16	284.3	P	0.013092																															
103480_at	16	16	136.4	A	0.175989																															
103481_at	16	16	227.4	P	0.001354																															
103483_at	16	16	166.8	P	0.001354																															
103484_at	16	16	23.3	A	0.267463																															
103485_at	16	16	36.2	A	0.397994																															
103486_at	16	16	6.3	A	0.641310																															
103487_at	16	16	34.8	A	0.520620																															
103488_at	16	16	9038.7	P	0.000266																															
103489_at	16	16	222.1	P	0.002228																															
103490_at	16	16	2.9	A	0.986908																															
103491_at	16	16	3.8	A	0.861235																															
103492_at	16	16	2.6	A	0.901946																															
103493_at	16	16	87.6	A	0.107301																															
103494_at	16	16	2.5	A	0.951005																															
103495_at	16	16	16.2	A	0.418069																															
103496_at	16	16	41.9	A	0.081337																															
103497_at	16	16	96.4	P	0.000959																															
103498_at	16	16	55.7	A	0.089405																															
103499_at	16	16	6.6	A	0.956032																															
103500_at	16	16	15.5	A	0.418069																															
103501_at	16	16	341.9	P	0.001892																															
103502_at	16	16	5.6	A	0.679170																															
103503_at	16	16	7.2	A	0.892699																															
103504_at	16	16	2083.4	P	0.000266																															
103506_f_at	16	16	1.9	A	0.715253																															
103507_at	16	16	9.2	A	0.945530																															
103508_at	16	16	78.6	P	0.007543																															
103509_at	16	16	2.8	A	0.933135																															
103510_at	16	16	12.9	A	0.479380																															
103511_at	16	16	20.6	A	0.849473																															
103512_at	16	16	132.1	A	0.098054																															
103513_at	16	16	10.0	A	0.581931																															
103514_at	16	16	11.6	A	0.660442																															
103515_at	16	16	1211.2	P	0.001141																															
103516_at	16	16	16.5	A	0.500000																															
103517_at	16	16	505.8	P	0.000219																															
103518_at	16	16	1761.2	P	0.000219																															
103519_at	16	16	4.1	A	0.939581																															
103520_at	16	16	21.4	A	0.561639																															
103521_r_at	16	16	28.2	A	0.715253																															
103522_at	16	16	21.5	A	0.138765																															
103523_at	16	16	147.8	P	0.024711																															
103524_at	16	16	275.0	P	0.004180																															
103525_at	16	16	382.5	P	0.000805																															
103526_at	16	16	646.5	P	0.002617																															
103527_at	16	16	144.2	P	0.013092																															
103529_at	16	16	56.7	M	0.048995																															
103530_at	16	16	108.2	P	0.006532																															
103531_f_at	16	16	83.1	P	0.039365																															
103532_at	16	16	34.7	P	0.005643																															
103533_at	16	16	26.5	A	0.810313																															
103534_at	16	16	4.4	A	0.660442																															
103535_at	16	16	6.3	A	0.732537																															
103536_at	16	16	8.8	A	0.621816																															
103537_at	16	16	173.2	P	0.000388																															
103538_at	16	16	4.0	A	0.824011																															
103539_at	16	16	139.8	A	0.098054																															
103540_at	16	16	58.6	A	0.320830																															
103541_at	16	16	49.8	A	0.060419																															
103542_at	16	16	46.0	A	0.234557																															
103543_at	16	16	34.6	A	0.561639																															
103544_at	16	16	367.8	A	0.284747																															
103545_at	16	16	18.9	A	0.358690																															
103546_at	16	16	59.5	A	0.189687																															
103547_at	16	16	66.3	P	0.024711																															
103548_at	16	16	14.2	A	0.715253																															
103549_at	16	16	23.8	A	0.500000																															
103550_at	16	16	3.1	A	0.892699																															
103551_at	16	16	281.9	P	0.000468																															
103552_at	16	16	47.6	P	0.021866																															
103553_at	16	16	18.2	A	0.267463																															
103554_at	16	16	1655.4	P	0.000219																															
103555_at	16	16	1389.5	P	0.000219																															
103676_at	16	16	18.2	A	0.765443																															
103678_at	16	16	1156.7	P	0.000562																															
103679_at	16	16	8.5	A	0.824011																															
103680_at	16	16	244.9	P	0.001354																															
103681_at	16	16	914.4	P	0.000673																															
103682_at	16	16	90.3	P	0.009985																															
103683_at	16	16	129.9	P	0.019304																															
103684_at	16	16	2.1	A	0.837065																															
103685_at	16	16	948.2	P	0.000219																															
103686_at	16	16	246.4	P	0.000673																															
103688_at	16	16	8.7	A	0.621816																															
103689_at	16	16	20.0	A	0.541184																															
103690_at	16	16	16.4	A	0.358690																															
103691_at	16	16	118.7	A	0.284747																															
103692_at	16	16	90.8	A	0.098054																															
103693_at	16	16	3.4	A	0.882840																															
103694_at	16	16	151.4	A	0.098054																															
103695_f_at	12	12	627.2	P	0.001109																															
103696_r_at	16	16	10.3	A	0.284747																															
103697_at	16	16	9.3	A	0.561649																															
103699_i_at	14	14	130.9	A	0.070073																															
103700_r_at	16	16	51.4	M	0.054470																															
103701_at	16	16	183.2	P	0.000388																															
103702_i_at	15	15	21.3	A	0.388213																															
103703_f_at	16	16	78.2	A	0.302547																															
103704_at	16	16	259.2	P	0.000468																															
103706_at	16	16	195.4	P	0.011447																															
103707_at	16	16	34.3	A	0.127645																															
103708_at	16	16	166.8	P	0.001892																															
103709_at	16	16	163.1	A	0.089405																															
103710_at	16	16	146.2	P	0.000805																															
103711_at	16	16	92.1	P	0.006532																															
103712_at	16	16	301.2	P	0.000805																															
103713_at	16	16	304.0	P	0.004863																															
103714_at	16	16	5.6	A	0.765443																															
103715_at	16	16	9.1	A	0.660442																															
103716_at	16	16	425.7	P	0.000805																															
103717_at	16	16	163.7	P	0.001354																															
103718_at	16	16	30.7	A	0.621816																															
103719_at	16	16	25.1	A	0.397994																															
103720_at	16	16	270.3	P	0.000266																															
103721_at	16	16	5.2	A	0.933135																															
103723_at	16	16	3.4	A	0.978134																															
103726_at	16	16	250.3	P	0.000388																															
103727_at	16	16	144.4	P	0.000959																															
103728_at	16	16	21.6	A	0.234557																															
103729_at	16	16	12.0	A	0.500000																															
103730_at	16	16	3.9	A	0.926170																															
103731_at	16	16	138.6	P	0.003067																															
103732_at	16	16	80.5	A	0.438361																															
103733_at	16	16	203.3	P	0.000322																															
103734_at	16	16	52.2	P	0.009985																															
103735_at	16	16	8.2	A	0.520620																															
103736_at	16	16	6.0	A	0.749276																															
103737_at	16	16	48.6	A	0.267463																															
103738_at	16	16	1010.8	P	0.017001																															
103739_at	16	16	65.3	A	0.162935																															
103741_at	16	16	9.6	A	0.500000																															
103742_at	16	16	65.2	A	0.175989																															
103743_at	16	16	7.3	A	0.621816																															
103744_at	16	16	3.7	A	0.732537																															
103745_at	16	16	54.2	P	0.014937																															
103746_at	16	16	182.3	P	0.000468																															
103748_at	16	16	390.1	P	0.002228																															
103751_at	16	16	50.0	A	0.089405																															
103752_r_at	16	16	153.1	P	0.000959																															
103753_at	16	16	324.9	P	0.000219																															
103754_at	16	16	331.5	P	0.000219																															
103755_at	16	16	39.5	A	0.378184																															
103756_at	16	16	295.1	P	0.009985																															
103757_at	16	16	75.7	P	0.019304																															
103759_at	16	16	16.0	A	0.320830																															
103760_at	16	16	157.3	P	0.019304																															
103761_at	16	16	10.8	A	0.520620																															
103762_at	16	16	346.3	P	0.000266																															
103763_at	16	16	147.1	P	0.001602																															
103765_at	16	16	43.6	A	0.066865																															
103766_at	16	16	14.9	A	0.438361																															
103767_f_at	16	16	201.0	P	0.027860																															
103768_at	16	16	88.3	A	0.189687																															
103769_at	16	16	17.9	A	0.378184																															
103770_at	16	16	25.1	A	0.267463																															
103771_at	16	16	283.5	A	0.150527																															
103773_at	16	16	57.4	P	0.027860																															
103774_at	16	16	162.4	P	0.000805																															
103776_at	16	16	5.1	A	0.781017																															
103778_at	16	16	4.7	A	0.810313																															
103779_at	16	16	447.2	P	0.000388																															
103780_at	16	16	23.6	A	0.250724																															
103781_at	16	16	752.6	P	0.000219																															
103782_at	16	16	32.5	A	0.189687																															
103783_at	16	16	732.1	P	0.000468																															
103784_at	16	16	42.9	A	0.189687																															
103786_at	16	16	49.4	P	0.004863																															
103787_at	16	16	8.0	A	0.964837																															
103789_at	16	16	642.7	P	0.001892																															
103790_at	16	16	358.6	P	0.001602																															
103791_at	16	16	60.2	P	0.013092																															
103792_at	16	16	90.2	A	0.479380																															
103793_at	16	16	210.1	P	0.014937																															
103794_i_at	13	13	15.7	A	0.231536																															
103795_f_at	16	16	11.6	A	0.810313																															
103916_at	16	16	97.6	P	0.000388																															
103918_at	16	16	30.6	A	0.397994																															
103921_i_at	14	14	201.1	P	0.001432																															
103922_f_at	16	16	87.0	P	0.004863																															
103923_at	16	16	13.9	A	0.781017																															
103924_at	16	16	96.2	A	0.060419																															
103925_at	16	16	861.9	P	0.002228																															
103926_at	16	16	120.3	P	0.001602																															
103927_at	16	16	47.5	A	0.117160																															
103928_at	16	16	13.2	A	0.602006																															
103930_at	16	16	246.7	P	0.000468																															
103931_at	16	16	80.8	A	0.089405																															
103932_at	16	16	452.0	P	0.000219																															
103933_at	16	16	88.8	P	0.003067																															
103934_at	16	16	125.6	M	0.054470																															
103935_at	16	16	2225.2	P	0.000219																															
103939_at	16	16	24.8	A	0.066865																															
103941_at	16	16	6.4	A	0.679170																															
103942_at	16	16	39.2	A	0.641310																															
103943_at	16	16	10.1	A	0.849473																															
103944_at	16	16	25.3	A	0.098054																															
103945_at	16	16	26.6	A	0.458816																															
103946_at	16	16	2194.6	P	0.000219																															
103947_at	16	16	249.1	P	0.000266																															
103948_at	16	16	22.9	A	0.660442																															
103949_at	16	16	50.6	A	0.150527																															
103950_at	16	16	12.5	A	0.500000																															
103952_at	16	16	7.8	A	0.939581																															
103953_at	16	16	180.9	P	0.003067																															
103954_at	16	16	27.9	A	0.138765																															
103955_at	16	16	140.7	P	0.031336																															
103956_at	16	16	8.4	A	0.964837																															
103957_at	16	16	17.5	A	0.339558																															
103958_g_at	16	16	498.0	P	0.002617																															
103959_at	16	16	34.2	A	0.284747																															
103960_at	16	16	121.0	A	0.284747																															
103961_s_at	16	16	5.4	A	0.882840																															
103962_at	16	16	8.0	A	0.795978																															
103963_f_at	16	16	196.5	P	0.001892																															
103964_at	16	16	570.9	P	0.000388																															
103965_at	16	16	169.6	P	0.013092																															
103967_at	16	16	5.1	A	0.641310																															
103968_at	16	16	25.5	A	0.117160																															
103969_at	16	16	955.7	P	0.000219																															
103970_at	16	16	262.1	P	0.000322																															
103971_at	16	16	95.9	P	0.019304																															
103972_at	16	16	3.0	A	0.983000																															
103973_at	16	16	17.8	A	0.378184																															
103974_at	16	16	12.7	A	0.520620																															
103975_at	16	16	3.6	A	0.861235																															
103976_at	16	16	7.4	A	0.561639																															
103977_at	16	16	22.6	A	0.098054																															
103978_at	16	16	200.7	P	0.000673																															
103980_at	16	16	11.7	A	0.837065																															
103981_at	16	16	171.8	P	0.000266																															
103982_s_at	16	16	5.0	A	0.765443																															
103983_at	16	16	4.6	A	0.972140																															
103984_at	16	16	1.3	A	0.926170																															
103985_at	16	16	125.0	P	0.013092																															
103986_at	16	16	89.2	A	0.098054																															
